uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template
b54fb478-0c65-46ed-8c32-a495b1e5b6cc,How frequently is the property Satisfaction evaluated compared to the property Context Coverage in papers that investigate the research object Architecture Evolution?,"The frequency with which the property Satisfaction is evaluated compared to the property Context Coverage in papers that investigate the research object Architecture Evolution is as follows: Satisfaction is evaluated three times, whereas Context Coverage is evaluated only once.","['10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA.2018.00012', '10.1109/ICSA.2018.00012', '10.1109/ICSA.2019.00024', '10.1109/ICSA.2019.00024']",,"['(R874382:Research Object Entity, Name, L1532476:Architecture Evolution)', '(R874372:Property, Name, L1532467:Satisfaction)', '(R874380:Property, Name, L1532474:Context coverage)', '(R871023:Research Object Entity, Name, L1525570:Architecture Evolution)', '(R871021:Property, Name, L1525568:Satisfaction)', '(R873637:Research Object Entity, Name, L1530905:Architecture Evolution)', '(R873633:Property, Name, L1530901:Satisfaction)']",clustering_strategy,R659055,Software Architecture and Design,6,How frequently is the sub-property with the name [sub-property name] used compared to the sub-property with the name [sub-property name] in research that investigates the research object with the name [research object name]?,4,comparative,True,How frequently is the property [property 1] evaluated compared to the property [property 2] in papers that investigate the research object [research object name]?
9e3c5460-0e14-4afc-884b-7d587a27d540,What are the properties that are evaluated in papers that investigate the research object Technical Debt without adhering to an evaluation guideline?,The properties that are evaluated in papers that investigate the research object Technical Debt without adhering to an evaluation guideline are Accuracy and Maintainability.,"['10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-319-65831-5_4']",,"['(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872802:Evaluation, Has Guideline, L1529235:False)', '(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869126:Evaluation, Has Guideline, L1521575:False)', '(R872806:Property, Name, L1529236:Accuracy)', '(R869130:Property, Name, L1521576:Maintainability)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation sub-properties that are assessed in research papers that investigate the research object with the name [research object name] without adhering to evaluation guidelines?,4,negation,True,What are the properties that are evaluated in papers that investigate the research object [research object name] without adhering to an evaluation guideline?
1dd32084-dbc1-46d8-bc7a-74d6108c765f,What is the evaluation method that has been applied the most in papers that investigate the research object Technical Debt?,The evaluation method that has been applied most frequently in papers investigating Technical Debt is case study.,"['10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-030-58923-3_14', '10.1007/978-3-030-58923-3_14']",,"['(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869128:Evaluation Method Entity, Name, L1521574:Data Science)', '(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872804:Evaluation Method Entity, Name, L1529234:Data Science)', '(R872632:Research Object Entity, Name, L1528881:Technical Debt)', '(R872627:Evaluation Method Entity, Name, L1528876:Grounded Theory)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the name of the evaluation method that has been used the most in papers that investigate the research object with the name [research object name]?,4,superlative,True,What is the evaluation method that has been applied the most in papers that investigate the research object [research object name]?
25e23886-0754-4387-8b4e-2a56a5d5f19a,How frequently is the research object Technical Debt investigated per publication year?,"The frequency with which the research object Technical Debt is investigated per publication year is as follows: it was investigated once in 2017, once in 2020, and once in 2021.","['10.1007/978-3-030-58923-3_14', '10.1007/978-3-030-58923-3_14', '10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017']",,"['(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872607:Architectural Technical Debt: A Grounded Theory, publication year, L1528844:2020)', '(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869104:The Evolution of Technical Debt in the Apache Ecosystem, publication year, L1521523:2017)', '(R872632:Research Object Entity, Name, L1528881:Technical Debt)', '(R872780:Architectural Decay as Predictor of Issue- and Change-Proneness, publication year, L1529184:2021)']",clustering_strategy,R659055,Software Architecture and Design,5,How frequently per year is the research object with the name [research object name] investigated?,4,relationship,True,How frequently is the research object [research object name] investigated per publication year?
997f2c00-4d34-4801-81f6-aa3b52186e51,What is the property that is evaluated for the research object Architecture Design Method in the paper with the title 'Enabling Continuous Software Engineering for Embedded Systems Architectures with Virtual Prototypes'?,The property investigated on the research object Architecture Design Method in the paper 'Enabling Continuous Software Engineering for Embedded Systems Architectures with Virtual Prototypes' is Functional Suitability.,['10.1007/978-3-030-00761-4_8'],,"['(R870624:Property, Name, L1524745:Functional Suitability)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What is the name of the sub-property that is evaluated for the research object with the name [research object name] in the paper with the title '[paper title]'?,5,basic,True,What is the property that is evaluated for the research object [research object name] in the paper with the title '[paper title]'?
6916bcb2-160f-4d54-82c7-7a5c12ca7ad0,What are the evaluation methods that the author Uwe Zdun applied in papers that investigate the research object Architecture Decision Making?,The evaluation methods that the author Uwe Zdun applied in papers that investigate the research object Architecture Decision Making are Data Science and Grounded Theory.,"['10.1109/ICSA.2018.00021', '10.1109/ICSA.2018.00021', '10.1109/ICSA.2018.00021', '10.1007/978-3-030-29983-5_1', '10.1007/978-3-030-29983-5_1', '10.1007/978-3-030-29983-5_1']",,"['(R873078:authors list, has list element, L1529783:Uwe Zdun)', '(R873105:Research Object Entity, Name, L1529835:Architecture Decision Making)', '(R873101:Evaluation Method Entity, Name, L1529831:Data Science)', '(R873341:authors list, has list element, L1530307:Uwe Zdun)', '(R873368:Research Object Entity, Name, L1530360:Architecture Decision Making)', '(R873364:Evaluation Method Entity, Name, L1530356:Grounded Theory)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation methods that the author Uwe Zdun applied in papers that investigate the research object with the name [research object name]?,5,aggregation,True,What are the evaluation methods that the author [author name] applied in papers that investigate the research object [research object name]?
92d35ad7-dbb7-4c3c-aa0f-654cec77bc70,How many different evaluation methods did the author David Monschein apply in papers that evaluate the property Efficiency?,The number of different evaluation methods that the author David Monschein applied in papers that evaluate the property Efficiency is two.,"['10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA47634.2020.00011', '10.1109/ICSA47634.2020.00011', '10.1109/ICSA47634.2020.00011']",,"['(R868699:authors list, has list element, L1520650:David Monschein)', '(R868730:Property, Name, L1520716:Efficiency)', '(R868726:Evaluation Method Entity, Name, L1520712:Technical Experiment)', '(R870060:authors list, has list element, L1523561:David Monschein)', '(R870089:Property, Name, L1523619:Efficiency)', '(R870085:Evaluation Method Entity, Name, L1523615:Case Study)']",clustering_strategy,R659055,Software Architecture and Design,6,How many different evaluation methods did the author [author name] use in papers that evaluate the sub-property with the name [sub-property name]?,5,counting,True,How many different evaluation methods did the author [author name] apply in papers that evaluate the property [property name]?
4baa20c1-efb5-4061-b443-c00f05c4c08d,What are the evaluation methods that the author Anne Koziolek applied in papers that investigate the research object Architecture Evolution? Rank the evaluation methods in descending alphabetical order.,"The evaluation methods applied by Anne Koziolek in papers that investigate the research object Architecture Evolution, ranked in descending alphabetical order, are: Technical Experiment and Case Study.","['10.1007/978-3-030-00761-4_18', '10.1007/978-3-030-00761-4_18', '10.1007/978-3-030-00761-4_18', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA47634.2020.00011', '10.1109/ICSA47634.2020.00011', '10.1109/ICSA47634.2020.00011']",,"['(R873460:authors list, has list element, L1530562:Anne Koziolek)', '(R870091:Research Object Entity, Name, L1523621:Architecture Evolution)', '(R870085:Evaluation Method Entity, Name, L1523615:Case Study)', '(R868699:authors list, has list element, L1520653:Anne Koziolek)', '(R868734:Research Object Entity, Name, L1520720:Architecture Evolution)', '(R868726:Evaluation Method Entity, Name, L1520712:Technical Experiment)', '(R870060:authors list, has list element, L1523563:Anne Koziolek)', '(R873482:Research Object Entity, Name, L1530596:Architecture Evolution)', '(R873478:Evaluation Method Entity, Name, L1530592:Case Study)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation methods that the author [author name] applied in papers that investigate the research object with the name [research object name]? Rank the names of the methods in descending alphabetical order.,5,ranking,True,What are the evaluation methods that the author [author name] applied in papers that investigate the research object [research object name]? Rank the evaluation methods in descending alphabetical order.
361e4d2b-3e80-4fe3-85ff-35a81b857637,How often is the research object Architecture Extraction investigated in papers published in the publication year 2018 in comparison to the publication year 2020?,"The research object Architecture Extraction is investigated in two papers published in the year 2018, in comparison to one paper in the year 2020.","['10.1109/ICSA.2018.00014', '10.1109/ICSA.2018.00014', '10.1109/ICSA47634.2020.00023', '10.1109/ICSA47634.2020.00023', '10.1007/978-3-030-00761-4_14', '10.1007/978-3-030-00761-4_14']",,"['(R873887:Research Object Entity, Name, L1531437:Architecture Extraction)', '(R873855:Towards Micro Service Architecture Recovery: An Empirical Study, publication year, L1531379:2018)', '(R870549:Research Object Entity, Name, L1524582:Architecture Extraction)', '(R870521:From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach, publication year, L1524530:2020)', '(R869680:Research Object Entity, Name, L1522761:Architecture Extraction)', '(R869648:A Platform for the Automated Provisioning of Architecture Information for Large-Scale Service-Oriented Software Systems, publication year, L1522702:2018)']",clustering_strategy,R659055,Software Architecture and Design,5,How many research objects with the name [research object name] have been investigated in papers published in the publication year [year 1] in comparison to the publication year [year 2]?,5,comparative,True,How often is the research object [research object name] investigated in papers published in the publication year [year] in comparison to the publication year [year]?
2025048a-6b67-4553-bb99-8330bad2bd56,What are the research objects that have been investigated in papers by the author Uwe Zdun to which no evaluation method has been applied?,The research objects that have been investigated in papers by the author Uwe Zdun to which no evaluation method has been applied are Architecture Optimization Method and Architectural Aspects.,"['10.1109/ICSA51549.2021.00012', '10.1109/ICSA51549.2021.00012', '10.1109/ICSA51549.2021.00012', '10.1007/978-3-030-86044-8_15', '10.1007/978-3-030-86044-8_15', '10.1007/978-3-030-86044-8_15']",,"['(R869265:authors list, has list element, L1521866:Uwe Zdun)', '(R869298:Evaluation, Evaluation method, L1521934:False)', '(R869300:Research Object Entity, Name, L1521937:Architecture Optimization Method)', '(R871897:authors list, has list element, L1527351:Uwe Zdun)', '(R871930:Evaluation, Evaluation method, L1527415:False)', '(R871932:Research Object Entity, Name, L1527418:Architectural Aspects)']",clustering_strategy,R659055,Software Architecture and Design,5,"What are the names of the research objects, that have been investigated in papers by the author [author name], where no evaluation method has been applied to?",5,negation,True,What are the research objects that have been investigated in papers by the author [author name] to which no evaluation method has been applied?
fca46ea1-13e0-4d34-a94e-7631105830bb,"In the publication year 2021, what is the evaluation method that has been applied the most in papers that investigate the research object Architecture Evolution?",The evaluation method that has been applied the most in papers that investigate the research object Architecture Evolution in the publication year 2021 is Technical Experiment.,"['10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009']",,"['(R874382:Research Object Entity, Name, L1532476:Architecture Evolution)', '(R874338:Continuous API Evolution in Heterogenous Enterprise Software Systems, publication year, L1532404:2021)', '(R874370:Evaluation Method Entity, Name, L1532465:Questionnaire)', '(R874376:Evaluation Method Entity, Name, L1532470:Technical Experiment)', '(R868734:Research Object Entity, Name, L1520720:Architecture Evolution)', '(R868698:Enabling Consistency between Software Artefacts for Software Adaption and Evolution, publication year, L1520654:2021)', '(R868726:Evaluation Method Entity, Name, L1520712:Technical Experiment)']",clustering_strategy,R659055,Software Architecture and Design,6,"In the year [year], what is the name of the most used evaluation method that is applied in papers that investigate the research object with the name [research object name]?",5,superlative,True,"In the publication year [year], what is the evaluation method that has been applied the most in papers that investigate the research object [research object name]?"
2e757068-c06f-4798-8cd3-f6c5e5e8027f,"From the publication years 2019 to 2021, how frequently per publication year have the research objects of papers been evaluated using the evaluation method Data Science?","The frequency per publication year of research objects evaluated with the Data Science method is: one in 2019, one in 2020, and one in 2021.","['10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA.2019.00012', '10.1109/ICSA.2019.00012', '10.1109/ICSA.2019.00012', '10.1007/978-3-030-86044-8_6', '10.1007/978-3-030-86044-8_6', '10.1007/978-3-030-86044-8_6']",,"['(R872804:Evaluation Method Entity, Name, L1529234:Data Science)', '(R872780:Architectural Decay as Predictor of Issue- and Change-Proneness, publication year, L1529184:2021)', '(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R870777:Evaluation Method Entity, Name, L1525079:Data Science)', '(R870753:Architectural Security Weaknesses in Industrial Control Systems (ICS) an Empirical Study Based on Disclosed Software Vulnerabilities, publication year, L1525030:2019)', '(R870781:Research Object Entity, Name, L1525083:Architectural Aspects)', '(R870006:Evaluation Method Entity, Name, L1523455:Data Science)', '(R869987:FLRA: A Reference Architecture for Federated Learning Systems, publication year, L1523426:2021)', '(R870010:Research Object Entity, Name, L1523459:Reference Architecture)']",clustering_strategy,R659055,Software Architecture and Design,6,"From [year 1] to [year 2], how frequently per year have the research objects of papers been evaluated with the evaluation method with the name [evaluation method name]?",5,relationship,True,"From the publication years [year] to [year], how frequently per publication year have the research objects of papers been evaluated using the evaluation method [evaluation method name]?"
14f1dbb3-809b-43dc-8f62-e7d6a1173f68,What is the title of the paper that investigates the research object Architecture Decision Making and has the paper class philosophical paper?,The title of the paper that investigates the research object Architecture Decision Making and has the paper class of philosophical paper is 'Architectural Design Decisions for Systems Supporting Model-Based Analysis of Runtime Events: A Qualitative Multi-method Study.',['10.1109/ICSA.2018.00021'],,"['(R873096:Paper Class 2, philosophical paper, L1529827:True)']",publication_subgraph_strategy,R873077,Architectural Design Decisions for Systems Supporting Model-Based Analysis of Runtime Events: A Qualitative Multi-method Study,2,What is the title of the paper that investigates the research object with the name [research object name] and has the paper class [paper class name]?,6,basic,True,What is the title of the paper that investigates the research object [research object name] and has the paper class [paper class]?
aca4e265-6743-420f-a626-c6c2cab7d94e,Which papers investigate the research object Technical Debt in the publication year 2017?,The paper with the title 'The Evolution of Technical Debt in the Apache Ecosystem' investigated Technical Debt as a research object in the year 2017.,"['10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4']",,"['(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869104:The Evolution of Technical Debt in the Apache Ecosystem, publication year, L1521523:2017)']",clustering_strategy,R659055,Software Architecture and Design,5,Which papers investigate [research object name] as a research object in the publication year [year]?,6,aggregation,True,Which papers investigate the research object [research object name] in the publication year [year]?
13fc2ea0-097a-4b2f-861a-758a7177065c,How many papers applied the evaluation method Controlled Experiment in the publication year 2018?,The number of papers that applied the evaluation method Controlled Experiment in the publication year 2018 is two.,"['10.1109/ICSA.2018.00028', '10.1109/ICSA.2018.00028', '10.1007/978-3-030-00761-4_23', '10.1007/978-3-030-00761-4_23']",,"['(R874422:Evaluation Method Entity, Name, L1532572:Controlled Experiment)', '(R874393:Improving the Search for Architecture Knowledge in Online Developer Communities, publication year, L1532515:2018)', '(R869377:Evaluation Method Entity, Name, L1522113:Controlled Experiment)', '(R869353:Two Architectural Threat Analysis Techniques Compared, publication year, L1522065:2018)']",clustering_strategy,R659055,Software Architecture and Design,6,How many papers applied the evaluation method with the name [evaluation method name] in the publication year [year]?,6,counting,True,How many papers applied the evaluation method [evaluation method name] in the publication year [year]?
18b9f0d0-ddcf-4b4d-8193-0452d1de1368,Which papers have Ingo Weber as an author and apply the evaluation method Argumentation? Rank the papers in descending order of their publication year.,"The papers that have Ingo Weber as an author and that apply the evaluation method Argumentation, ranked in descending order of their publication year, are: 1. A Platform Architecture for Multi-Tenant Blockchain-Based Systems (2019), 2. A Taxonomy of Blockchain-Based Systems for Architecture Design (2017).","['10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33']",,"['(R871727:authors list, has list element, L1527018:Ingo Weber)', '(R871760:Evaluation Method Entity, Name, L1527086:Argumentation)', '(R871726:A Platform Architecture for Multi-Tenant Blockchain-Based Systems, publication year, L1527024:2019)', '(R873702:authors list, has list element, L1531053:Ingo Weber)', '(R873720:Evaluation Method Entity, Name, L1531089:Argumentation)', '(R873701:A Taxonomy of Blockchain-Based Systems for Architecture Design, publication year, L1531060:2017)']",clustering_strategy,R659055,Software Architecture and Design,6,Which papers have [author name] as an author and apply the evaluation method with the name [evaluation method name]? Rank them in descending order of their publication year.,6,ranking,True,Which papers have [author name] as an author and apply the evaluation method [evaluation method name]? Rank the papers in descending order of their publication year.
887fd851-2249-44df-b32e-904befa42b80,What is the number of papers investigating the research object Architecture Evolution in the publication year 2020 versus the publication year 2021?,"The number of papers investigating the research object Architecture Evolution in the publication year 2020 is two, whereas the number in the publication year 2021 is also two.","['10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00009', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA47634.2020.00011', '10.1109/ICSA47634.2020.00011', '10.1007/978-3-030-58923-3_18', '10.1007/978-3-030-58923-3_18']",,"['(R868734:Research Object Entity, Name, L1520720:Architecture Evolution)', '(R868698:Enabling Consistency between Software Artefacts for Software Adaption and Evolution, publication year, L1520654:2021)', '(R874382:Research Object Entity, Name, L1532476:Architecture Evolution)', '(R874338:Continuous API Evolution in Heterogenous Enterprise Software Systems, publication year, L1532404:2021)', '(R870091:Research Object Entity, Name, L1523621:Architecture Evolution)', '(R870059:Incremental Calibration of Architectural Performance Models with Parametric Dependencies, publication year, L1523564:2020)', '(R869762:Research Object Entity, Name, L1522941:Architecture Evolution)', '(R869730:Architectural Concerns for Digital Twin of the Organization, publication year, L1522884:2020)']",clustering_strategy,R659055,Software Architecture and Design,5,What is the number of studies investigating the research object with the name [research object name] in [year 1] versus [year 2]?,6,comparative,True,What is the number of papers investigating the research object [research object name] in the publication year [year] versus the publication year [year]?
39427c97-424f-42a1-b8ee-5726c77283c7,Which papers published in the publication year 2017 investigate the research object Architecture Design Method and have not used input data?,"The papers that investigate the research object Architecture Design Method and do not have input data available in the publication year 2017 are 'An Architecture Framework for Modelling and Simulation of Situational-Aware Cyber-Physical Systems', 'Microservice Ambients: An Architectural Meta-Modelling Approach for Microservice Granularity', and 'Design Criteria to Architect Continuous Experimentation for Self-Driving Vehicles'.","['10.1007/978-3-319-65831-5_7', '10.1007/978-3-319-65831-5_7', '10.1007/978-3-319-65831-5_7', '10.1109/ICSA.2017.32', '10.1109/ICSA.2017.32', '10.1109/ICSA.2017.32', '10.1109/ICSA.2017.36', '10.1109/ICSA.2017.36', '10.1109/ICSA.2017.36']",,"['(R868917:Research Object Entity, Name, L1521119:Architecture Design Method)', '(R868889:An Architecture Framework for Modelling and Simulation of Situational-Aware Cyber-Physical Systems, publication year, L1521067:2017)', '(R868919:Input Data, None, L1521123:True)', '(R870298:Research Object Entity, Name, L1524086:Architecture Design Method)', '(R871785:Microservice Ambients: An Architectural Meta-Modelling Approach for Microservice Granularity, publication year, L1527135:2017)', '(R870300:Input Data, None, L1524090:True)', '(R871810:Research Object Entity, Name, L1527171:Architecture Design Method)', '(R870270:Design Criteria to Architect Continuous Experimentation for Self-Driving Vehicles, publication year, L1524035:2017)', '(R874792:Input Data, None, L1533368:True)']",clustering_strategy,R659055,Software Architecture and Design,5,Which papers that have been published in the year [year] investigate the research object with the name [research object name] and have not used input data in their work?,6,negation,True,Which papers published in the publication year [year] investigate the research object [research object name] and have not used input data?
fcb2ce85-a751-4a0d-a330-27d5ccc86dbf,"Among papers that apply the evaluation method Benchmark, what is the paper class that is most frequently applied to papers published in the publication year 2020?",The paper class that has the most papers applying the evaluation method Benchmark in the publication year 2020 is the proposal of a solution.,"['10.1007/978-3-030-58923-3_2', '10.1007/978-3-030-58923-3_2', '10.1007/978-3-030-58923-3_2', '10.1109/ICSA47634.2020.00009', '10.1109/ICSA47634.2020.00009', '10.1109/ICSA47634.2020.00009', '10.1109/ICSA47634.2020.00009']",,"['(R871169:Evaluation Method Entity, Name, L1525874:Benchmark)', '(R871143:Formal Software Architectural Migration Towards Emerging Architectural Styles, publication year, L1525821:2020)', '(R871164:Paper Class 2, proposal of solution, L1525868:True)', '(R874284:Evaluation Method Entity, Name, L1532280:Benchmark)', '(R874260:Employment of Optimal Approximations on Apache Hadoop Checkpoint Technique for Performance Improvements, publication year, L1532232:2020)', '(R874279:Paper Class 2, validation research, L1532272:True)', '(R874279:Paper Class 2, proposal of solution, L1532274:True)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the paper class which has the most papers that are published in the year [year] that apply the evaluation method with the name [evaluation method name]?,6,superlative,True,"Among papers that apply the evaluation method [evaluation method name], what is the paper class that is most frequently applied to papers published in the publication year [year]?"
15173686-4e3a-434e-9c97-f787cec4b379,How are the papers that investigate the research object Architecture Extraction distributed between the publication years 2018 and 2020?,"The distribution of papers investigating the research object Architecture Extraction between 2018 and 2020 is as follows: two papers were published in 2018, one paper was published in 2019, and one paper was published in 2020.","['10.1007/978-3-030-00761-4_14', '10.1007/978-3-030-00761-4_14', '10.1109/ICSA.2018.00014', '10.1109/ICSA.2018.00014', '10.1007/978-3-030-29983-5_17', '10.1007/978-3-030-29983-5_17', '10.1109/ICSA47634.2020.00023', '10.1109/ICSA47634.2020.00023', '10.1007/978-3-030-29983-5_5', '10.1007/978-3-030-29983-5_5']",,"['(R869680:Research Object Entity, Name, L1522761:Architecture Extraction)', '(R869648:A Platform for the Automated Provisioning of Architecture Information for Large-Scale Service-Oriented Software Systems, publication year, L1522702:2018)', '(R873887:Research Object Entity, Name, L1531437:Architecture Extraction)', '(R873855:Towards Micro Service Architecture Recovery: An Empirical Study, publication year, L1531379:2018)', '(R872464:Research Object Entity, Name, L1528569:Architecture Extraction)', '(R872428:Tool Support for the Migration to Microservice Architecture: An Industrial Case Study, publication year, L1528508:2019)', '(R870549:Research Object Entity, Name, L1524582:Architecture Extraction)', '(R870521:From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach, publication year, L1524530:2020)', '(R874554:Research Object Entity, Name, L1532843:Architecture Extraction)', '(R874518:Evaluating the Effectiveness of Multi-level Greedy Modularity Clustering for Software Architecture Recovery, publication year, L1532779:2019)']",clustering_strategy,R659055,Software Architecture and Design,5,How are the papers that investigate the research object with the name [research object name] distributed between the publication year [year 1] and [year 2]?,6,relationship,True,How are the papers that investigate the research object [research object name] distributed between the publication years [year] and [year]?
